"file.text","file.place_full_name","file.geo_coords","file.coords_coords"
"Take Care Of Your Hands!! #Winter #FluSeason #Health #Skincare #Germs  https://t.co/hsgpMHQfEp","","c(Na, Na)","c(Na, Na)"
"BREAKING: FDA Sued as CDC Recommends Untested, Unlicensed #Flu #Vaccine for Pregnant Women

https://t.co/gpL5kWPkc4

#LearnTheRisk #FluShot #vaccines","","c(Na, Na)","c(Na, Na)"
"Some people are not able to be vaccinated for medical reasons, including this young child who recently died from #flu. So please remember that when you protect yourself by getting a flu #vaccine, you're also helping to poreotect others. https://t.co/AbnyspiImx","","c(Na, Na)","c(Na, Na)"
"BCBS gives a pediatrician $400 per child who's got 100% of #vaccines (including #Flu) they recommend by age of 2.

It's called PROVIDER INCENTIVE PROGRAM: https://t.co/YXY2PGjrfO

Page 15 will give you an idea why it's so hard to find a vaccine-exemption-friendly pediatrician. https://t.co/dOWQYMmExh","","c(Na, Na)","c(Na, Na)"
"In 2016 #CDC Acknowledged that ""Nasal Spray"" #Flu #Vaccine Did Not Work &amp; Should Not Be Used 

https://t.co/cMRKdCz07e

The data showed the effectiveness of live #FluVaccine against any flu virus was 3%. It means no protective benefit could be measured.

#VaccineFailure #vaccines https://t.co/Dy1ZT3JYeg","","c(Na, Na)","c(Na, Na)"
"Characterization of #Vaccine #SHEDDING with Live #Flu #Vaccine FluMist:

https://t.co/HDTtt3VG7h

89% of kids under two, 20% of adults - all age groups shed vaccine strains.
Do day care centers, schools, or work facilities require their post-vaccination quarantine?

#vaccines https://t.co/VHQj1455hq","","c(Na, Na)","c(Na, Na)"
"How Much Do You Really Know About the #Flu Vaccine?
https://t.co/2aBmNPjLws https://t.co/a2FzF6ZdLe","","c(Na, Na)","c(Na, Na)"
"Vaccines DO NOT require double blind placebo studies.

Did you know that for testing FLUBLOK vaccine, other #Flu #vaccines (such as Fluarix, Fluzone and Afluria) were used as a ""placebo"" control?

https://t.co/Vu8ZOuyuF8

#LearnTheRisk #VaccineSafety #FluShot https://t.co/GnJ5XZGzk3","","c(Na, Na)","c(Na, Na)"
"Guillain Barr̩ Syndrome is #1 in #Vaccine #Injury Compensations due to #Flu Shots

https://t.co/aEdpHxvwlx https://t.co/xm7axj0pCS","","c(Na, Na)","c(Na, Na)"
"#STUDY: Increasing #Flu Vaccination Didn't Reduce Flu-Related Deaths in Elderly in the US

https://t.co/3leVun8dll https://t.co/wqiLEFlLNI","","c(Na, Na)","c(Na, Na)"
"#STUDY: Vaccinating #Pregnant Women Didn't Reduce Risk for #Flu or #Pneumonia for Moms &amp; Babies

https://t.co/V9uatdEB21

#LearnTheRisk #vaccines #InformedConsent https://t.co/fZQpyc1ih4","","c(Na, Na)","c(Na, Na)"
"Read FLUZONE #Flu #Vaccine package insert, p.21:
https://t.co/EoOoRXFIFl

0.5 mL dose from the multi-dose vial contains 25 mcg #Mercury, 
0.25 mL (#infant dose for 6-mon old &amp; up) - 12.5 mcg.

25 mcg/ 0.5 ml = 50,000 ppb
250X more than TOXIC HAZARD level

#LearnTheRisk #FluShot https://t.co/SUdn14JAl4","","c(Na, Na)","c(Na, Na)"
"Vitamin D Is More Effective Than #Flu #Vaccine, #Study Says

https://t.co/Af7eKMRvGN https://t.co/quobcvn4fB","","c(Na, Na)","c(Na, Na)"
"Animal #STUDY: #Flu #Vaccine Enhances Colonization of STREP &amp; STAPH Bacteria

https://t.co/oCxd7PVX6j

#LearnTheRisk #vaccines https://t.co/HqKcPw8SFs","","c(Na, Na)","c(Na, Na)"
