,tweets,region
0,There is not a cold or fever that this #ramen won't cure #cold #flu #fever #notfellingwell  #fever #terakawa terakawaphilly  5 stars always @ Terakawa Ramen - Philadelphia https://t.co/EeQcSLBAYj,Pennsylvania
1,We're told to wash our hands constantly during #cold and #flu season. Most soaps out there use perfumes &amp; other ingredients that dry out your #skin. Not so with our #Coconut #Oil &amp; #Goatâ€¦ https://t.co/UEQA08TPLl,California
2,"This videoâ€™s so sick!!! #broom #room #brielarson #capatainmarvel #flu @ Denver, Colorado https://t.co/nd3RK7Qc4E",Colorado
3,"Says the doctor, â€œInfluenza, Conjunctivitis, good heart shit, good pressure.â€ Oh, and a BRAND NEW CPAP machine! #flu #kaiserpermanente @ Union Station,â€¦ https://t.co/QdSPc2FmB3",Rhode Island
4,#Flu #BGOD #BENTLEYGANG #Nyc #LA #Brooklyn #Worldwide #recordlabel #Hiphop #flstudio #Producer #ableton #protools #Rapper #Beats #studio #Dj #Rap #knuckleUp #ComeUpDvd #artistâ€¦ https://t.co/bP0Te2h5u2,New York
5,"How will I get anything done when I keep getting sick? 
The boy and I are out hard with colds today. I reckon he feels kinda like he looks in this photo. 
<U+0001F915><U+0001F912>
-
-
-
#sick #flu #boy #baeâ€¦ https://t.co/KGEZ9xBY5n",Hawaii
6,The embodiment of #murphyslaw = #aircast + #flu + #7monthspregnant #goingonvacation #ugh @ Bloor West Village https://t.co/mvSuo1lztk,Missouri
7,Trying to clean around this little sickie poo.  Poor kiddo <U+0001F625>   At least the animals are on watch. Good little caregivers.                                                #clean #diy #flu @â€¦ https://t.co/A7kCJHmkZa,West Virginia
8,"My baby, my company. #Day61 #365photochallenge #aussie #bordercollie #dogmom #doggo #flu @ Houston, Texas https://t.co/aZjWX7pGAg",Texas
9,"#flu got me like <U+0001F637> @ University Park, Texas https://t.co/raIQiGtv7P",Texas
